"SITE_NAME,SUB_SITE,DATE_OBS,DEPTH_INTERVAL,TOTAL_CARBON_CONTENT,INORGANIC_CARBON_CONTENT,CRTFCN_CODE,REVISION_DATE"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0-0.02',1.1932,.0094,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0-0.1',.3754,.004,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0.1-0.3',.0762,.0008,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0.3-0.6',.041,.0006,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0.6-0.9',.0351,.0001,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'0.9-1.2',.031,.0001,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'1.2-1.5',.0242,0.0,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'1.5-1.8',.0236,.0001,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'1.8-2.1',.026,.0003,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'2.1-2.4',.028,.0004,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'2.4-2.7',.0252,.0012,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'2.7-3.0',.4244,.399,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'3.0-3.4',.4812,.285,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'3.4-3.7',.33,.298,'CPI',12-NOV-1998"
"'SSA-OJP-FLXTR','9TF04-SPR01',22-MAY-1994,'3.7-4.0',.2484,.269,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'0.61',-999.0,.0008,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'1.22',-999.0,.0003,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'2.44',-999.0,.1725,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'3.05',-999.0,.609,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'3.66',-999.0,.4189,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'4.27',-999.0,.7587,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'4.88',-999.0,.5543,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'5.49',-999.0,.9423,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'6.1',-999.0,.5037,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'6.71',-999.0,.4482,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'8.53',-999.0,.4692,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'9.14',-999.0,.6573,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',20-AUG-1994,'10.06',-999.0,.9074,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',21-AUG-1994,'3.66',-999.0,.7097,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',21-AUG-1994,'4.27',-999.0,.4652,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',21-AUG-1994,'4.88',-999.0,1.159,'CPI',12-NOV-1998"
"'SSA-YJP-FLXTR','9TF04-SPR01',21-AUG-1994,'5.49',-999.0,.7436,'CPI',12-NOV-1998"
